Parameter	Input	Low	High								
StageType2	3	3	3								
StageType3	1	1	1								
StageScale2	5	3	9								
StageScale3	0.5	0.25	1								
StageShape2	1	1	1								
StageShape3	1	1	1								
StageUtility1	0.999	0.99	1								
StageUtility2	0.9	0.7	0.95								
StageUtility3	0.5	0.3	0.6								
TestSensitivity1	0.95	0.6	1								
TestSensitivity2	0.5	0.25	1								
TestSensitivity3	0.6	0.3	1								
TestSensitivity4	0.65	0.325	1								
TestSensitivity5	0.7	0.35	1								
TestSpecificity1	0.98	0.6	1								
TestSpecificity2	0.95	0.475	1								
TestSpecificity3	0.93	0.465	1								
TestSpecificity4	0.9	0.45	1								
TestSpecificity5	0.8	0.4	1								
TestDisutility1	0.001	0.0005	0.002								
TestDisutility2	0.002	0.001	0.004								
TestDisutility3	0.005	0.0025	0.01								
TestDisutility4	0.005	0.0025	0.01								
TestDisutility5	0.005	0.0025	0.01								
PreClinicalProbability	0.85	0.425	1								
ClinicalProbability	0.4	0.2	1								
DisutilityTriage	0.01	0.005	0.02								
DisutilityTrt	0.09	0.045	0.18								
DiscountRateCost	0.05	0.025	0.1								
DiscountRateEffect	0.05	0.025	0.1								
DiscountYear	0	0	5								
CostPrimaryScreen	100	50	200								
CostFollowUp	1000	500	2000								
CostTrtScreen	10000	5000	20000								
CostTrtClinical	20000	10000	40000								
Incidence_0	0	0	0								
Incidence_5	0	0	0								
Incidence_10	0	0	0								
Incidence_15	0	0	0								
Incidence_20	0	0	0								
Incidence_25	0	0	0								
Incidence_30	0	0	0								
Incidence_35	0.0005	0.000416667	0.0006								
Incidence_40	0.0005	0.000416667	0.0006								
Incidence_45	0.0008	0.000666667	0.00096								
Incidence_50	0.0008	0.000666667	0.00096								
Incidence_55	0.0008	0.000666667	0.00096								
Incidence_60	0.0012	0.001	0.00144								
Incidence_65	0.0012	0.001	0.00144								
Incidence_70	0.0012	0.001	0.00144								
Incidence_75	0.0012	0.001	0.00144								
Incidence_80	0.0016	0.001333333	0.00192								
Incidence_85	0.0016	0.001333333	0.00192								
Incidence_90	0.0016	0.001333333	0.00192								
Incidence_95	0.0016	0.001333333	0.00192								
Incidence_100	0.0016	0.001333333	0.00192								
Survival_0	1	1	1								
Survival_5	0.9942	0.993968	0.994432								
Survival_10	0.9937	0.993448	0.993952								
Survival_15	0.9931	0.992824	0.993376								
Survival_20	0.9919	0.991576	0.992224								
Survival_25	0.9902	0.989808	0.990592								
Survival_30	0.9883	0.987832	0.988768								
Survival_35	0.9858	0.985232	0.986368								
Survival_40	0.9821	0.981384	0.982816								
Survival_45	0.9762	0.975248	0.977152								
Survival_50	0.9665	0.96516	0.96784								
Survival_55	0.9508	0.948832	0.952768								
Survival_60	0.9272	0.924288	0.930112								
Survival_65	0.8906	0.886224	0.894976								
Survival_70	0.8347	0.828088	0.841312								
Survival_75	0.7466	0.736464	0.756736								
Survival_80	0.6127	0.597208	0.628192								
Survival_85	0.4344	0.411776	0.457024								
Survival_90	0.2398	0.209392	0.270208								
Survival_95	0.0892	0.052768	0.125632								
Survival_100	0	0	0								
											
											
											
											
											
